Bot Name,Description,Description_en,Description_ru,Description_de,Description_es,Referral Link,Bitly Link,RefParam,Commission (%),Category,Active,Duration,Verified,Clicks,GPT Description,Short Label,Added,Owner,Середній дохід/день,ROI Score
Boinkers,Мем-батли за зірки 💩💎,💩💎 Meme battles for stars,💩💎 Мем-батлы за звёзды,💩💎 Meme-Schlachten um Sterne,💩💎 Batallas de memes por estrellas,https://t.me/boinker_bot?start=_tgr_qEfhJpQxZGQy,,_tgr_qEfhJpQxZGQy,62,NEW,No,9 999,Yes,0,Мем-батли з виграшем 💩💎,🧻 Boinkers,2025-07-18,@HubAggregatorBot,"1,60","1,0"
EasyGiftDropbot,🎁 Подарунки за активність,🎁 Gifts for activity,🎁 Подарки за активность,🎁 Geschenke für Aktivität,🎁 Regalos por actividad,https://t.me/EasyGiftDropbot?start=_tgr_WhrUYB40ZWFi,(порожньо),_tgr_WhrUYB40ZWFi,20,TOP,Yes,30,Yes,0,🎯 Рандомні подарунки за активність,🎯 Подарунки,2025-07-18,@HubAggregatorBot,"9,40","1,9"
Capybobo,Капібот з вибуховими бонусами 💥,💥 Capibot with explosive bonuses,💥 Капибот с взрывными бонусами,💥 Capibot mit explosiven Boni,💥 Capibot con bonificaciones explosivas,https://t.me/Capybombbot?start=_tgr_lhU0eHQ4ODdi,(порожньо),_tgr_lhU0eHQ4ODdi,30,TOP,No,90,Yes,0,Капібара-бомбер з бонусами 🐹💣,🐹💣 Капібара,2025-07-18,@HubAggregatorBot,"1,50","0,5"
RandGiftBot,🎁 Випадкові подарунки,🎁 Random gifts,🎁 Случайные подарки,🎁 Zufällige Geschenke,🎁 Regalos aleatorios,https://t.me/randgift_bot?start=_tgr_dkf6mDQ3Y2M6,(порожньо),_tgr_dkf6mDQ3Y2M6,1,NEW,Yes,9 999,Yes,0,🎲 Рандомні подарунки на кожен день,🎲🎁 Рандом,2025-07-18,@HubAggregatorBot,"4,40","0,0"
TheStarsBank,🏦 Заробіток на транзакціях,🏦 Earnings from transactions,🏦 Заработок на транзакциях,🏦 Einnahmen aus Transaktionen,🏦 Ganancias por transacciones,https://t.me/m5bank_bot?start=_tgr_JUV1QDBzMDUy,(порожньо),_tgr_JUV1QDBzMDUy,30,TOP,No,365,Yes,0,💰 Фінбот із прибутком,🏦 Банк,2025-07-18,@HubAggregatorBot,"23,90","7,2"
AutoGiftsBot,🎁 Автопокупка подарунків,🎁 Auto purchase of gifts,🎁 Автопокупка подарков,🎁 Automatischer Kauf von Geschenken,🎁 Compra automática de regalos,https://t.me/GiftSignalsBot?start=_tgr_nWMmrkI3MDMy,(порожньо),_tgr_nWMmrkI3MDMy,2,NEW,No,9 999,Yes,0,🧸 Бот для покупки подарунків,🎁 Gifts,2025-07-18,@HubAggregatorBot,"31,60","0,6"
TheStarsBank,🏦 Заробіток на транзакціях 🏛️,🏛️ Earnings from transactions 🏦,🏛️ Заработок на транзакциях 🏦,🏛️ Einnahmen aus Transaktionen 🏦,🏛️ Ganancias por transacciones 🏦,https://t.me/m5bank_bot?start=_tgr_JUV1QD8zMDUy,(порожньо),_tgr_JUV1QD8zMDUy,30,TOP,Yes,365,Yes,0,💰 Фінбот із прибутком,🏦 Банк,2025-07-18,@HubAggregatorBot,"23,9","7,2"
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,,
