language,message_key,text
uk,info_main,"👋 Це HubAggregatorBot — агрегатор найвигідніших Telegram-міні-застосунків та ботів для заробітку зірок і TON.\n\nТут ти можеш:\n• знаходити перевірені партнерки\n• відкривати TOP-партнерів\n• відстежувати свій заробіток\n• підключити 7% офіційної партнерки Telegram\n\nПочни з команди /partners або відкрий /earnings, щоб побачити свій прогрес."
uk,wallet_saved,✅ <b>Адресу збережено!</b>\nВи можете її використовувати для отримання нарахувань.
uk,wallet_invalid_format,🧠 Якщо ви намагаєтесь ввести адресу TON-гаманця — перевірте формат. А якщо ні — скористайтесь командою /info.
uk,wallet_not_found,"⚠️ <b>У вас ще не збережено адресу TON-гаманця</b>\n\n🧾 Як зберегти: відкрийте будь-який TON-гаманець, скопіюйте адресу і надішліть її сюди."
uk,wallet_help,⚠️ <b>У вас ще не збережено адресу TON-гаманця</b>\n\n🧾 <b>Як зберегти адресу TON-гаманця:</b>\n\n1️⃣ Встановіть або відкрийте один із гаманців:\n\n• <a href="https://t.me/wallet">@wallet</a> — офіційний TON-гаманець у Telegram\n• <a href="https://tonkeeper.com">Tonkeeper</a> — iOS / Android\n• <a href="https://tonhub.com">Tonhub</a> — iOS / Android\n• <a href="https://t.me/tonkeeper">@tonkeeper</a> — гаманець у Telegram\n\n2️⃣ Скопіюйте адресу гаманця (виглядає приблизно так):\n<code>EQCwz3GkW9hkGkB3Dxvkdsi8IzUxxxxxxxxxxxxxxxxxxxxxxx</code>\n\n3️⃣ Надішліть цю адресу сюди в чат 📩\n\n✅ Валідну адресу буде збережено автоматично\n❗️ Якщо щось не так — бот надішле підказку
uk,wallet_info_empty,😐 Поки що в тебе немає збереженого TON-гаманця.
uk,wallet_info_saved,👛 Твій TON-гаманець:\n<code>{{wallet}}</code>
uk,wallet_info_earnings,💸 Нараховано: <b>{{amount}}</b> TON
uk,wallet_buy_stars_hint,⭐ Хочеш більше зірок? Купи їх напряму в Telegram.
uk,btn_buy_stars,⭐ Купити зірки
